chr1	179	340	0	0	0	7	1	48
chr1	495	651	0	0	0	8	3	45
chr1	994	1128	2	4	0	19	0	44
chr1	1539	1673	0	0	0	26	2	49
chr1	1875	2038	0	0	0	20	1	49
chr1	2581	2792	0	0	0	6	1	34
chr1	3065	3279	0	0	0	4	0	48
chr1	3716	3881	0	0	0	11	0	45
chr1	4042	4221	1	5	0	13	0	49
chr1	5631	5827	0	0	0	8	0	44
chr1	5976	6155	1	1	0	0	1	31
chr1	6384	6618	0	0	0	5	0	45
chr1	7216	7332	0	0	0	3	1	47
chr1	8971	9155	1	1	0	12	0	50
chr1	9350	9495	2	2	0	10	0	49
chr1	9754	9961	0	0	0	14	2	49
chr1	10513	10759	1	1	0	2	0	37
chr1	13358	13560	0	0	0	6	0	35
chr1	13818	13919	0	0	0	5	2	42
chr1	14343	14496	0	0	0	9	0	48
chr1	14693	14941	0	0	0	9	1	50
chr1	15439	15585	0	0	0	7	1	45
chr1	15874	15979	0	0	0	8	1	48
chr1	17022	17258	0	0	0	6	0	48
chr1	17514	17616	1	1	0	2	0	49
