11
GENE_001_GAPDH_like	GAPDH_like	MissingGeneType
GENE_002_ACTB_like	ACTB_like	MissingGeneType
GENE_003_TP53_like	TP53_like	MissingGeneType
GENE_004_CD4_like	CD4_like	MissingGeneType
GENE_005_CD8A_like	CD8A_like	MissingGeneType
GENE_006_MS4A1_like	MS4A1_like	MissingGeneType
GENE_007_GNLY_like	GNLY_like	MissingGeneType
GENE_008_NKG7_like	NKG7_like	MissingGeneType
GENE_009_IL7R_like	IL7R_like	MissingGeneType
GENE_010_MT-ND1_like	MT-ND1_like	MissingGeneType
GENE_011_MT-CO1_like	MT-CO1_like	MissingGeneType
